ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656407773866814229,1656407773901294809,Timing,FusionCameraDetectionComponent::OnReceiveImage,34480580,1656407773876075969,0,0,25218840,1656407773901294809,1656407773901294809,1
1656407773876078293,1656407773927392367,Timing,FusionCameraDetectionComponent::OnReceiveImage,51314074,1656407773876075969,0,0,51316398,1656407773927392367,1656407773927392367,1
1656407773942031014,1656407773974395170,Timing,FusionCameraDetectionComponent::OnReceiveImage,32364156,1656407773947269703,0,0,27125467,1656407773974395170,1656407773974395170,1
1656407773947271527,1656407774001765362,Timing,FusionCameraDetectionComponent::OnReceiveImage,54493835,1656407773986857101,0,0,14908261,1656407774001765362,1656407774001765362,1
1656407773986859419,1656407774029060810,Timing,FusionCameraDetectionComponent::OnReceiveImage,42201391,1656407774001807035,0,0,27253775,1656407774029060810,1656407774029060810,1
1656407774001807745,1656407774047538442,Timing,FusionCameraDetectionComponent::OnReceiveImage,45730697,1656407774001807035,0,0,45731407,1656407774047538442,1656407774047538442,1
1656407774093447610,1656407774123502084,Timing,FusionCameraDetectionComponent::OnReceiveImage,30054474,1656407774102486756,0,0,21015328,1656407774123502084,1656407774123502084,1
1656407774102488651,1656407774151749228,Timing,FusionCameraDetectionComponent::OnReceiveImage,49260577,1656407774102486756,0,0,49262472,1656407774151749228,1656407774151749228,1
1656407774153450505,1656407774188301046,Timing,FusionCameraDetectionComponent::OnReceiveImage,34850541,1656407774162906275,0,0,25394771,1656407774188301046,1656407774188301046,1
1656407774162908361,1656407774209663068,Timing,FusionCameraDetectionComponent::OnReceiveImage,46754707,1656407774162906275,0,0,46756793,1656407774209663068,1656407774209663068,1
1656407774260065291,1656407774293005588,Timing,FusionCameraDetectionComponent::OnReceiveImage,32940297,1656407774275650345,0,0,17355243,1656407774293005588,1656407774293005588,1
1656407774275651524,1656407774314701802,Timing,FusionCameraDetectionComponent::OnReceiveImage,39050278,1656407774275650345,0,0,39051457,1656407774314701802,1656407774314701802,1
1656407774324978475,1656407774354782274,Timing,FusionCameraDetectionComponent::OnReceiveImage,29803799,1656407774327404470,0,0,27377804,1656407774354782274,1656407774354782274,1
1656407774327405578,1656407774379523753,Timing,FusionCameraDetectionComponent::OnReceiveImage,52118175,1656407774327404470,0,0,52119283,1656407774379523753,1656407774379523753,1
1656407774394011576,1656407774425914360,Timing,FusionCameraDetectionComponent::OnReceiveImage,31902784,1656407774396391212,0,0,29523148,1656407774425914360,1656407774425914360,1
1656407774396393173,1656407774456513305,Timing,FusionCameraDetectionComponent::OnReceiveImage,60120132,1656407774396391212,0,0,60122093,1656407774456513305,1656407774456513305,1
1656407774457343329,1656407774479594958,Timing,FusionCameraDetectionComponent::OnReceiveImage,22251629,1656407774460581299,0,0,19013659,1656407774479594958,1656407774479594958,1
1656407774460582861,1656407774509257665,Timing,FusionCameraDetectionComponent::OnReceiveImage,48674804,1656407774460581299,0,0,48676366,1656407774509257665,1656407774509257665,1
1656407774509313475,1656407774531213237,Timing,FusionCameraDetectionComponent::OnReceiveImage,21899762,1656407774511717722,0,0,19495515,1656407774531213237,1656407774531213237,1
1656407774511724005,1656407774558094800,Timing,FusionCameraDetectionComponent::OnReceiveImage,46370795,1656407774511717722,0,0,46377078,1656407774558094800,1656407774558094800,1
1656407774563812340,1656407774594905212,Timing,FusionCameraDetectionComponent::OnReceiveImage,31092872,1656407774579657095,0,0,15248117,1656407774594905212,1656407774594905212,1
1656407774579659120,1656407774611876099,Timing,FusionCameraDetectionComponent::OnReceiveImage,32216979,1656407774579657095,0,0,32219004,1656407774611876099,1656407774611876099,1
1656407774685354907,1656407774709392890,Timing,FusionCameraDetectionComponent::OnReceiveImage,24037983,1656407774688098305,0,0,21294585,1656407774709392890,1656407774709392890,1
1656407774688099834,1656407774727667614,Timing,FusionCameraDetectionComponent::OnReceiveImage,39567780,1656407774688098305,0,0,39569309,1656407774727667614,1656407774727667614,1
1656407774749768543,1656407774778246203,Timing,FusionCameraDetectionComponent::OnReceiveImage,28477660,1656407774751973263,0,0,26272940,1656407774778246203,1656407774778246203,1
1656407774751975014,1656407774797803439,Timing,FusionCameraDetectionComponent::OnReceiveImage,45828425,1656407774751973263,0,0,45830176,1656407774797803439,1656407774797803439,1
1656407774802798271,1656407774828159202,Timing,FusionCameraDetectionComponent::OnReceiveImage,25360931,1656407774810389666,0,0,17769536,1656407774828159202,1656407774828159202,1
1656407774810391491,1656407774845143550,Timing,FusionCameraDetectionComponent::OnReceiveImage,34752059,1656407774810389666,0,0,34753884,1656407774845143550,1656407774845143550,1
1656407774861027417,1656407774884921833,Timing,FusionCameraDetectionComponent::OnReceiveImage,23894416,1656407774870009690,0,0,14912143,1656407774884921833,1656407774884921833,1
1656407774870011061,1656407774904035536,Timing,FusionCameraDetectionComponent::OnReceiveImage,34024475,1656407774870009690,0,0,34025846,1656407774904035536,1656407774904035536,1
1656407774920384641,1656407774945709771,Timing,FusionCameraDetectionComponent::OnReceiveImage,25325130,1656407774922970027,0,0,22739744,1656407774945709771,1656407774945709771,1
1656407774922972156,1656407774978182065,Timing,FusionCameraDetectionComponent::OnReceiveImage,55209909,1656407774959926243,0,0,18255822,1656407774978182065,1656407774978182065,1
1656407774959927962,1656407774995907117,Timing,FusionCameraDetectionComponent::OnReceiveImage,35979155,1656407774978222378,0,0,17684739,1656407774995907117,1656407774995907117,1
1656407774978223436,1656407775025098251,Timing,FusionCameraDetectionComponent::OnReceiveImage,46874815,1656407775023004442,0,0,2093809,1656407775025098251,1656407775025098251,1
