ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish
1656408017670412684,1656408017704876148,Timing,FusionCameraDetectionComponent::OnReceiveImage,34463464,1656408017674564677,0,0,30311471,1656408017704876148,1656408017704876148,1
1656408017674565982,1656408017729831885,Timing,FusionCameraDetectionComponent::OnReceiveImage,55265903,1656408017674564677,0,0,55267208,1656408017729831885,1656408017729831885,1
1656408017738136445,1656408017766390217,Timing,FusionCameraDetectionComponent::OnReceiveImage,28253772,1656408017742537853,0,0,23852364,1656408017766390217,1656408017766390217,1
1656408017742538968,1656408017792276494,Timing,FusionCameraDetectionComponent::OnReceiveImage,49737526,1656408017742537853,0,0,49738641,1656408017792276494,1656408017792276494,1
1656408017798855090,1656408017827648530,Timing,FusionCameraDetectionComponent::OnReceiveImage,28793440,1656408017800968122,0,0,26680408,1656408017827648530,1656408017827648530,1
1656408017800969790,1656408017854943608,Timing,FusionCameraDetectionComponent::OnReceiveImage,53973818,1656408017800968122,0,0,53975486,1656408017854943608,1656408017854943608,1
1656408017863461531,1656408017894175618,Timing,FusionCameraDetectionComponent::OnReceiveImage,30714087,1656408017867079690,0,0,27095928,1656408017894175618,1656408017894175618,1
1656408017867081562,1656408017925662855,Timing,FusionCameraDetectionComponent::OnReceiveImage,58581293,1656408017920696275,0,0,4966580,1656408017925662855,1656408017925662855,1
1656408017920698254,1656408017948423925,Timing,FusionCameraDetectionComponent::OnReceiveImage,27725671,1656408017925708368,0,0,22715557,1656408017948423925,1656408017948423925,1
1656408017925709583,1656408017972784163,Timing,FusionCameraDetectionComponent::OnReceiveImage,47074580,1656408017925708368,0,0,47075795,1656408017972784163,1656408017972784163,1
1656408017972831460,1656408017997847558,Timing,FusionCameraDetectionComponent::OnReceiveImage,25016098,1656408017977279968,0,0,20567590,1656408017997847558,1656408017997847558,1
1656408017977281754,1656408018029640699,Timing,FusionCameraDetectionComponent::OnReceiveImage,52358945,1656408018021864840,0,0,7775859,1656408018029640699,1656408018029640699,1
1656408018021866285,1656408018056738272,Timing,FusionCameraDetectionComponent::OnReceiveImage,34871987,1656408018029689219,0,0,27049053,1656408018056738272,1656408018056738272,1
1656408018029690405,1656408018083926372,Timing,FusionCameraDetectionComponent::OnReceiveImage,54235967,1656408018076456964,0,0,7469408,1656408018083926372,1656408018083926372,1
1656408018076458792,1656408018109004904,Timing,FusionCameraDetectionComponent::OnReceiveImage,32546112,1656408018083984672,0,0,25020232,1656408018109004904,1656408018109004904,1
1656408018083985669,1656408018128576414,Timing,FusionCameraDetectionComponent::OnReceiveImage,44590745,1656408018083984672,0,0,44591742,1656408018128576414,1656408018128576414,1
1656408018130254633,1656408018154356905,Timing,FusionCameraDetectionComponent::OnReceiveImage,24102272,1656408018134206332,0,0,20150573,1656408018154356905,1656408018154356905,1
1656408018134207620,1656408018172672349,Timing,FusionCameraDetectionComponent::OnReceiveImage,38464729,1656408018134206332,0,0,38466017,1656408018172672349,1656408018172672349,1
1656408018218087920,1656408018244243369,Timing,FusionCameraDetectionComponent::OnReceiveImage,26155449,1656408018220646954,0,0,23596415,1656408018244243369,1656408018244243369,1
1656408018220648882,1656408018279084185,Timing,FusionCameraDetectionComponent::OnReceiveImage,58435303,1656408018265813745,0,0,13270440,1656408018279084185,1656408018279084185,1
1656408018265815734,1656408018297664046,Timing,FusionCameraDetectionComponent::OnReceiveImage,31848312,1656408018279121164,0,0,18542882,1656408018297664046,1656408018297664046,1
1656408018279121806,1656408018318567993,Timing,FusionCameraDetectionComponent::OnReceiveImage,39446187,1656408018279121164,0,0,39446829,1656408018318567993,1656408018318567993,1
1656408018325084591,1656408018348479710,Timing,FusionCameraDetectionComponent::OnReceiveImage,23395119,1656408018327475900,0,0,21003810,1656408018348479710,1656408018348479710,1
1656408018327477713,1656408018370279167,Timing,FusionCameraDetectionComponent::OnReceiveImage,42801454,1656408018327475900,0,0,42803267,1656408018370279167,1656408018370279167,1
1656408018417108012,1656408018443792986,Timing,FusionCameraDetectionComponent::OnReceiveImage,26684974,1656408018419488704,0,0,24304282,1656408018443792986,1656408018443792986,1
1656408018419490406,1656408018463812649,Timing,FusionCameraDetectionComponent::OnReceiveImage,44322243,1656408018463125384,0,0,687265,1656408018463812649,1656408018463812649,1
1656408018463127294,1656408018488947045,Timing,FusionCameraDetectionComponent::OnReceiveImage,25819751,1656408018465747177,0,0,23199868,1656408018488947045,1656408018488947045,1
1656408018465748523,1656408018507434918,Timing,FusionCameraDetectionComponent::OnReceiveImage,41686395,1656408018465747177,0,0,41687741,1656408018507434918,1656408018507434918,1
1656408018517969369,1656408018541824617,Timing,FusionCameraDetectionComponent::OnReceiveImage,23855248,1656408018520068211,0,0,21756406,1656408018541824617,1656408018541824617,1
1656408018520069892,1656408018566458526,Timing,FusionCameraDetectionComponent::OnReceiveImage,46388634,1656408018520068211,0,0,46390315,1656408018566458526,1656408018566458526,1
1656408018620906204,1656408018652248355,Timing,FusionCameraDetectionComponent::OnReceiveImage,31342151,1656408018626638331,0,0,25610024,1656408018652248355,1656408018652248355,1
1656408018626640389,1656408018680846353,Timing,FusionCameraDetectionComponent::OnReceiveImage,54205964,1656408018652289668,0,0,28556685,1656408018680846353,1656408018680846353,1
1656408018652290337,1656408018708469049,Timing,FusionCameraDetectionComponent::OnReceiveImage,56178712,1656408018680893061,0,0,27575988,1656408018708469049,1656408018708469049,1
1656408018680894245,1656408018726977092,Timing,FusionCameraDetectionComponent::OnReceiveImage,46082847,1656408018708512416,0,0,18464676,1656408018726977092,1656408018726977092,1
1656408018708513752,1656408018744236050,Timing,FusionCameraDetectionComponent::OnReceiveImage,35722298,1656408018727012947,0,0,17223103,1656408018744236050,1656408018744236050,1
1656408018727013573,1656408018763194320,Timing,FusionCameraDetectionComponent::OnReceiveImage,36180747,1656408018727012947,0,0,36181373,1656408018763194320,1656408018763194320,1
1656408018773247200,1656408018796287194,Timing,FusionCameraDetectionComponent::OnReceiveImage,23039994,1656408018779251416,0,0,17035778,1656408018796287194,1656408018796287194,1
1656408018779253062,1656408018814156323,Timing,FusionCameraDetectionComponent::OnReceiveImage,34903261,1656408018779251416,0,0,34904907,1656408018814156323,1656408018814156323,1
1656408018840906595,1656408018858505994,Timing,FusionCameraDetectionComponent::OnReceiveImage,17599399,1656408018840905115,0,0,17600879,1656408018858505994,1656408018858505994,1
1656408018879927961,1656408018905366016,Timing,FusionCameraDetectionComponent::OnReceiveImage,25438055,1656408018879926652,0,0,25439364,1656408018905366016,1656408018905366016,1
1656408018927499436,1656408018951794961,Timing,FusionCameraDetectionComponent::OnReceiveImage,24295525,1656408018929710802,0,0,22084159,1656408018951794961,1656408018951794961,1
1656408018929712575,1656408018971148882,Timing,FusionCameraDetectionComponent::OnReceiveImage,41436307,1656408018929710802,0,0,41438080,1656408018971148882,1656408018971148882,1
